right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
67.7,26.84,91.3,135.5,134.5,139.2,136.8,1
65.9,23.6,88.9,142.4,136.9,135.1,135.8,1
59.94,20.62,96.9,153.8,140.9,137.2,138.9,1
61.66,22.14,93.0,146.8,132.5,133.2,138.1,1
74.9,35.56,104.8,149.9,144.2,125.25,137.9,1
85.56,53.1,81.6,107.2,97.8,121.25,140.0,1
77.56,45.16,84.44,119.0,99.44,111.6,136.8,1
73.5,33.94,108.94,150.4,150.4,104.8,135.6,1
71.94,27.44,104.0,148.9,145.1,117.06,134.2,1
67.56,29.55,105.2,154.8,144.1,112.1,136.4,1
62.12,25.75,88.94,155.4,136.1,128.1,138.4,1
63.0,27.27,87.0,154.0,133.8,128.4,139.0,1
70.9,33.44,107.44,155.0,146.2,122.6,135.8,1
85.4,54.3,89.44,115.44,104.6,130.1,135.8,1
77.0,60.62,90.5,124.56,111.94,135.9,140.4,1
73.9,43.7,102.75,151.5,146.8,125.56,138.8,1
67.56,37.88,98.7,150.0,145.1,126.2,139.0,1
68.3,38.28,101.06,148.6,143.5,119.06,137.6,1
65.2,37.22,97.2,148.6,138.5,123.06,136.0,1
78.9,46.06,100.25,146.8,139.6,127.75,139.4,1
90.25,67.56,84.6,124.25,105.94,143.5,142.5,1
81.6,66.94,71.4,116.2,95.1,134.9,143.9,1
78.25,44.25,93.9,144.8,132.2,137.2,138.0,1
70.06,36.88,105.06,153.6,139.9,135.1,136.6,1
59.38,28.78,90.3,157.4,130.8,134.9,136.4,1
60.25,27.84,88.6,158.4,133.8,133.1,137.2,1
67.1,32.28,99.44,154.4,131.2,134.8,136.6,1
76.6,38.75,91.8,140.4,113.06,134.5,135.0,1
84.75,59.72,81.44,100.44,91.2,141.2,139.1,1
89.9,74.75,68.2,97.9,85.56,142.5,147.2,1
82.3,50.44,103.75,133.6,128.8,137.6,137.9,1
37.06,39.12,88.0,147.8,148.2,139.5,55.7,1
42.4,42.16,109.9,165.5,150.4,139.1,56.66,1
34.12,32.7,82.44,148.8,150.2,141.2,56.6,1
78.25,56.72,70.06,129.4,112.06,142.9,135.9,1
38.8,38.62,96.7,154.5,147.1,141.0,59.56,1
36.34,40.56,95.44,157.9,158.9,142.1,58.38,1
47.88,47.28,94.3,131.0,134.5,143.1,63.5,1
55.7,73.75,62.38,113.44,118.4,144.2,51.44,1
80.6,70.4,59.6,88.1,73.25,136.4,145.6,1
48.12,73.56,59.03,114.0,110.1,141.0,52.22,1
43.94,58.22,67.3,138.8,122.4,138.4,60.75,1
45.25,55.03,102.7,151.5,141.5,137.8,62.25,1
31.98,26.06,84.9,152.9,153.9,138.4,71.75,1
26.52,38.62,81.2,144.6,150.1,139.0,61.2,1
26.58,27.17,88.06,151.0,153.9,138.8,62.06,1
37.53,45.03,82.56,144.8,145.2,139.0,62.88,1
52.5,62.8,70.8,125.56,123.9,143.6,59.72,1
54.4,84.9,35.6,125.2,122.2,142.9,93.94,1
49.72,65.6,82.2,144.6,139.4,144.2,77.2,1
39.7,52.9,86.0,153.8,145.8,142.8,67.94,1
32.78,48.47,84.3,152.6,159.9,138.6,71.1,1
32.66,44.72,80.7,152.8,139.0,140.6,63.5,1
32.97,44.94,84.75,153.2,136.9,141.1,62.56,1
34.16,50.34,85.3,148.1,139.5,141.4,63.38,1
46.22,63.2,79.2,141.6,135.1,142.8,68.25,1
54.12,75.4,47.12,104.0,108.0,144.4,60.38,1
57.88,77.6,32.38,123.94,124.3,144.6,52.3,1
60.53,74.06,94.9,146.9,138.4,144.6,63.7,1
48.5,52.97,69.06,150.6,158.9,145.2,80.7,1
39.75,49.97,56.56,139.0,136.9,142.9,64.56,1
33.72,21.64,96.6,150.8,144.6,139.4,68.56,1
27.3,59.03,89.25,138.6,139.0,132.8,73.06,1
30.22,73.3,94.8,136.1,132.2,132.9,117.5,1
30.84,53.6,74.9,120.3,135.9,135.5,118.3,1
41.78,64.56,44.22,75.0,121.56,139.1,127.7,1
50.66,69.2,53.1,100.06,120.1,143.0,129.8,1
49.8,58.4,60.47,134.8,126.7,140.6,130.8,1
45.38,49.62,49.56,124.44,119.0,141.8,136.2,1
77.0,77.56,25.89,58.7,58.5,149.2,145.8,1
74.44,79.2,32.62,62.16,66.25,146.5,143.4,1
46.84,51.12,48.9,119.5,111.75,143.1,136.5,1
39.97,44.3,45.97,125.75,113.9,142.0,134.5,1
34.12,39.44,43.44,127.06,115.8,141.4,135.4,1
34.62,39.3,44.16,127.56,114.6,141.8,135.6,1
33.75,37.72,39.75,120.75,114.5,141.0,137.2,1
36.75,41.34,43.6,122.8,116.25,142.5,136.8,1
42.56,47.53,42.84,125.1,118.06,142.8,137.2,1
47.0,53.34,50.16,123.06,121.44,141.2,135.0,1
72.4,78.8,34.88,65.7,75.1,144.5,142.4,1
79.44,86.2,39.75,62.28,75.4,145.5,142.2,1
90.5,90.94,21.73,58.5,49.25,149.4,146.1,1
77.4,82.75,48.4,92.4,95.7,145.1,141.9,1
50.78,53.97,46.38,127.4,122.4,143.1,136.9,1
49.88,57.1,40.88,125.1,119.56,144.4,141.0,1
49.34,56.84,42.9,131.0,121.6,143.8,139.4,1
