right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
53.94,39.3,89.8,113.0,94.2,78.44,149.0,0
43.88,59.25,64.94,42.8,38.5,97.3,116.1,0
72.25,91.5,68.94,69.56,71.25,85.8,109.25,0
23.81,95.1,46.5,98.7,114.7,5.445,47.28,0
31.62,18.27,62.6,31.48,38.34,76.44,111.9,0
25.94,16.6,73.56,45.16,50.4,93.9,80.7,0
86.2,64.1,41.53,152.6,129.5,112.1,113.06,0
13.875,3.543,44.75,91.2,76.06,116.94,37.53,0
87.4,51.12,70.2,63.62,66.7,32.5,58.5,0
79.9,45.3,88.25,77.56,84.75,85.7,79.56,0
84.0,82.6,55.38,96.75,73.9,91.8,80.0,0
71.4,91.44,99.8,160.4,59.4,150.0,155.6,0
101.6,61.28,48.22,104.94,103.5,109.4,128.0,0
83.56,89.8,72.4,81.8,56.3,121.3,112.5,0
43.78,49.22,126.1,59.88,36.16,107.44,101.3,0
21.88,24.02,83.3,68.1,75.25,141.5,93.44,0
17.22,40.5,92.2,137.2,98.75,80.56,48.72,0
53.97,76.9,135.1,62.6,25.67,106.75,126.0,0
20.97,30.17,88.25,147.2,99.75,94.4,59.53,0
153.2,149.0,78.5,153.4,93.4,153.9,139.5,0
9.914,23.25,81.7,79.4,80.7,78.5,113.1,0
167.5,145.6,76.8,142.9,94.25,144.1,124.44,0
100.0,111.9,66.56,90.94,97.25,112.5,156.2,0
14.48,29.98,83.2,77.7,81.8,93.5,119.5,0
150.5,152.5,10.72,162.5,161.8,165.2,154.9,0
91.7,115.9,87.5,91.2,91.75,104.56,152.6,0
23.67,21.05,25.47,84.1,75.56,67.8,79.2,0
135.6,138.6,10.266,167.0,167.0,149.5,141.6,0
88.56,106.06,84.06,98.56,99.44,78.5,105.56,0
5.656,66.56,100.44,66.5,116.94,123.6,129.6,0
64.7,39.94,47.03,95.56,100.2,108.75,66.25,0
19.34,43.1,24.88,121.9,90.2,51.25,74.3,0
95.25,107.3,68.2,99.7,87.94,83.9,75.5,0
74.75,51.2,62.44,76.7,59.7,95.06,48.5,0
129.6,153.9,70.94,108.25,172.5,156.4,118.0,0
63.88,94.8,61.66,76.5,72.56,70.0,61.62,0
40.06,9.73,53.75,117.6,82.8,119.3,74.44,0
36.06,24.2,43.38,95.5,93.3,130.4,130.4,0
82.5,70.6,62.25,89.2,86.1,43.66,98.06,0
62.84,22.2,65.25,134.8,101.4,108.25,72.2,0
64.75,19.34,146.4,167.8,150.2,107.94,118.0,0
81.9,76.6,57.1,75.6,77.56,94.0,143.9,0
151.9,156.5,39.16,90.06,59.66,132.5,139.6,0
89.9,99.4,64.94,76.6,89.1,115.2,107.6,0
20.84,17.34,76.8,59.7,41.9,97.4,89.6,0
81.94,67.4,36.03,125.44,119.8,159.6,135.2,0
61.2,42.56,64.2,124.3,114.44,112.25,122.25,0
60.06,61.66,75.56,78.2,64.9,129.4,133.6,0
80.0,107.5,71.06,54.9,54.06,83.06,87.1,0
87.9,104.6,76.2,51.78,60.44,101.44,103.44,0
74.94,85.94,56.1,163.6,167.0,125.5,117.75,0
27.88,15.0,27.03,71.5,75.1,96.0,152.0,0
30.98,50.2,56.16,106.75,79.4,134.6,103.3,0
78.3,36.0,60.94,67.2,56.4,114.06,96.25,0
50.8,29.61,35.25,69.7,59.6,155.6,100.6,0
159.0,133.2,72.06,154.1,159.0,130.5,143.4,0
99.2,74.0,81.1,153.2,75.2,73.2,107.3,0
121.1,90.2,118.8,139.9,176.0,114.2,92.25,0
139.6,84.9,85.44,169.9,157.9,138.2,137.9,0
39.62,88.8,98.8,55.2,38.12,121.6,149.8,0
166.5,100.44,52.6,141.8,137.8,132.1,143.4,0
49.25,66.2,116.9,57.3,42.9,142.1,135.6,0
103.3,47.75,130.8,44.75,31.8,109.3,90.56,0
105.4,170.2,48.4,115.3,143.1,160.2,149.9,0
65.6,99.44,100.0,138.1,123.75,104.6,111.7,0
106.0,114.3,85.75,79.4,74.5,99.25,108.4,0
63.03,87.4,42.56,127.0,96.6,115.44,128.1,0
61.75,96.0,104.7,15.516,45.5,69.9,124.6,0
41.53,46.3,61.47,154.6,160.2,99.3,48.44,0
60.7,43.72,36.7,155.1,155.2,111.8,62.28,0
161.4,111.56,104.56,69.4,90.0,143.2,104.1,0
11.67,26.8,28.81,103.0,78.56,116.0,104.25,0
36.56,70.1,42.44,95.94,101.06,116.56,104.94,0
41.22,65.9,76.0,90.3,78.2,137.0,148.1,0
52.97,78.5,72.4,52.1,56.06,139.2,153.4,0
74.6,43.53,115.8,68.6,121.75,147.6,125.44,0
92.7,73.06,102.06,55.47,69.44,120.0,99.75,0
