right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
93.3,62.28,79.4,162.1,162.6,162.9,99.5,1
85.9,54.06,85.7,157.4,159.6,148.6,96.8,1
98.0,95.75,87.7,146.2,144.1,164.9,100.9,1
86.9,52.53,86.25,147.2,156.5,157.5,100.7,1
92.75,59.62,87.4,156.6,152.1,164.9,96.1,1
95.94,61.34,83.1,157.0,155.4,169.2,99.4,1
96.4,96.6,87.25,147.2,145.2,168.5,97.94,1
92.3,62.75,84.25,156.9,153.8,166.9,99.4,1
94.5,61.06,85.5,157.5,159.4,168.0,96.7,1
94.75,63.06,85.3,161.8,156.4,168.5,96.44,1
87.94,56.78,87.4,149.1,160.9,156.6,104.3,1
81.7,48.1,90.56,145.8,161.8,142.2,90.0,1
96.6,94.25,90.0,140.2,143.9,168.2,97.8,1
80.2,51.5,87.06,148.0,157.4,148.9,95.6,1
92.75,60.8,90.4,144.2,158.0,166.6,109.1,1
89.75,63.66,86.75,153.2,152.0,169.1,102.1,1
96.9,62.25,95.06,142.6,158.4,169.4,105.2,1
95.56,92.0,91.75,138.4,146.5,168.8,99.75,1
95.2,86.9,89.8,142.5,148.8,169.0,106.9,1
95.0,88.6,89.7,143.1,147.9,170.4,105.0,1
82.5,100.4,50.78,133.1,153.2,122.75,158.4,1
72.75,97.06,43.4,138.8,154.0,123.06,163.1,1
75.06,92.56,44.53,144.1,163.9,121.75,163.5,1
72.56,92.4,45.78,147.1,165.0,123.2,163.2,1
96.5,87.75,86.2,147.9,143.1,166.1,109.9,1
74.9,91.8,44.94,151.5,168.2,124.44,161.8,1
76.3,88.6,41.34,153.4,169.8,128.9,156.2,1
75.9,88.94,43.12,156.2,169.9,131.6,154.4,1
78.56,87.4,43.38,153.2,170.6,129.0,155.8,1
78.3,85.1,42.88,154.8,169.4,131.2,152.2,1
81.6,90.25,46.94,151.8,167.6,135.6,157.6,1
81.2,88.6,43.1,149.6,169.8,136.4,154.9,1
79.9,90.56,46.38,149.0,166.5,132.5,156.1,1
78.94,89.75,44.8,152.0,166.9,130.4,157.5,1
79.25,88.75,45.16,152.8,166.9,129.9,154.0,1
98.5,88.0,85.25,151.5,144.8,165.9,111.25,1
