left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
277.53705,295.6821,314.91675,263.84854,193.99876,207.87701,462.713,411.00058,232.6658,242.15785,168.55534,251.69258,221.69113,82.41204,254.45776,235.86278,1
308.71732,281.42438,353.54346,297.30487,196.30525,168.38988,527.1028,470.12277,214.71579,223.7277,156.77719,237.9357,206.6217,69.43002,274.92435,232.84737,1
296.43774,288.38736,305.34763,287.90204,228.73215,216.04037,438.73224,423.12192,258.1051,247.32149,161.8542,206.11986,207.49066,55.186314,267.0399,251.9712,1
193.32458,286.0045,324.03488,392.79773,177.44826,291.54562,402.44498,441.11438,421.8209,174.6587,292.3292,279.80368,321.6591,187.57759,250.74158,342.17166,1
176.47849,261.7634,306.29776,343.37756,161.16365,268.09372,377.97812,397.80118,387.70435,168.52678,272.87778,291.75787,294.64255,144.79022,233.73071,305.73563,1
169.56775,247.3344,311.17642,389.31955,141.5318,225.82436,399.55118,454.38922,344.9751,172.63527,274.31552,298.1998,283.5596,188.1571,226.35411,307.57196,1
162.93506,219.22876,297.20746,341.1505,140.26097,197.46964,381.55356,403.18793,313.1965,172.9204,261.5002,294.55566,255.95882,152.2563,218.73422,269.3101,1
179.50719,234.20493,297.2072,367.24753,148.68747,211.61429,382.33798,431.55142,330.88034,166.72124,259.63712,297.67593,253.86327,180.30049,222.94734,289.4309,1
175.71674,230.10223,302.30695,365.80853,149.79622,217.95338,376.95596,415.4179,340.99002,161.57603,262.51797,300.92816,258.05826,182.5203,226.05157,291.88095,1
175.36617,228.16344,269.3359,365.9513,150.5042,207.9203,355.98608,426.44598,320.06256,170.86029,253.0679,300.7482,247.14354,200.98848,209.92006,286.9358,1
148.34776,283.89734,328.26712,344.8518,125.313576,265.39722,418.03815,409.38342,401.18268,194.76073,320.67004,288.3147,377.13388,141.92879,226.79036,305.1245,1
204.48314,187.73346,153.59729,134.43576,171.04424,178.50182,249.53998,241.89491,309.95966,158.90372,271.14157,307.31976,199.3893,81.23235,162.32077,156.46878,1
212.80751,168.77321,151.89511,144.29701,188.41551,187.51256,245.82935,251.7193,316.93176,162.10796,275.03006,287.71906,174.42221,33.61272,170.1553,165.90479,1
223.74988,252.039,157.53098,149.26738,197.8287,279.664,248.68419,261.6778,435.2808,165.90166,344.4124,360.75253,276.56827,33.17711,177.67984,214.4657,1
209.48225,178.2881,130.9964,164.81807,174.70033,182.77625,233.67294,267.53735,327.1075,167.58382,313.38586,373.42816,189.29446,14.962553,152.84836,173.79715,1
226.6347,192.62984,160.33751,184.93855,194.80168,212.54378,253.83134,289.98837,362.6729,154.5701,316.60352,338.10083,196.74606,81.52846,177.5696,198.74117,1
193.92769,169.72258,144.14845,205.26454,164.04192,189.48132,246.08035,307.4794,345.66266,177.75793,344.61206,354.3984,226.98926,74.85212,154.09518,197.37292,1
