left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
235.6517,153.65346,323.63748,201.64923,320.05328,255.60011,491.9293,358.2999,330.61597,463.28256,438.5615,225.39104,548.85016,298.71313,321.8454,228.62466,1
246.96178,164.92862,305.904,200.94289,341.6323,262.7321,483.85318,353.69135,324.9415,492.94446,451.0499,212.93045,553.7779,282.77414,323.76816,231.83748,1
233.73413,164.29546,343.38626,209.86964,318.74088,263.05942,509.42813,363.61734,319.2094,447.859,410.01035,252.48569,520.4844,333.48096,331.06357,236.46452,1
222.94365,176.93636,343.05103,203.1712,304.7279,266.62573,505.59067,356.77615,309.21588,426.24222,383.54276,241.71614,487.4382,325.48987,323.88947,234.89847,1
229.5946,168.43887,305.26376,201.93184,311.94867,260.36386,472.65094,355.7735,314.107,444.63498,405.9412,220.62683,509.8925,287.64563,308.60623,231.14784,1
227.76738,184.94019,311.6412,204.28111,308.7615,269.66254,475.3578,358.2533,311.62573,442.2774,395.4521,216.2264,493.24652,292.8693,310.20135,236.97182,1
235.91647,167.77313,316.07065,202.10178,324.71313,261.8082,485.1658,353.87183,317.99463,464.70065,425.6038,216.91902,525.59106,284.3147,320.39188,231.95499,1
229.0256,184.25043,311.90057,204.48128,314.3935,270.14606,478.43246,357.88025,309.93567,443.3732,392.5757,228.32088,493.56393,299.4793,313.14703,237.31366,1
227.53682,172.63191,294.89188,205.243,309.4885,261.8775,462.7836,359.37964,311.0492,442.22318,404.18195,216.86066,502.1554,289.0574,302.1902,233.56024,1
231.17311,175.95352,296.4207,204.53003,316.83206,264.30496,467.76834,358.30566,307.94122,450.6346,401.1379,214.05334,499.87305,287.05197,306.62637,234.41748,1
261.44342,191.74452,258.68945,216.6184,369.0958,275.44403,443.07092,363.42114,307.29895,533.1992,450.15073,230.7697,542.26825,282.6589,313.89264,246.03122,1
240.0277,169.50163,284.9629,208.95793,325.00165,260.63687,455.0996,360.54947,315.74896,464.74426,421.70117,211.49402,523.67725,286.87164,304.98227,234.7974,1
233.82597,150.87979,310.07574,205.27838,322.45905,252.89886,481.64365,356.32245,324.8454,464.1668,435.51227,213.06128,543.80756,288.20108,316.2674,229.08862,1
235.82973,185.97847,279.2413,204.77058,319.44928,266.693,450.1745,358.29977,306.61044,455.95566,404.40964,207.35849,499.4237,282.20053,299.3453,235.7318,1
240.39494,157.89984,321.52475,206.0062,333.8293,257.5383,496.77414,356.07748,321.46494,480.5284,441.1732,212.22531,545.93976,290.71027,327.67703,231.77225,1
230.22475,156.81691,320.8591,206.79655,317.27798,256.76175,491.58463,358.0468,319.7785,451.65106,418.94055,218.53992,527.3442,294.61124,319.06854,231.77916,1
