right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
30.42,33.38,85.9,40.2,87.5,100.6,87.2,1
60.22,8.57,69.4,46.16,101.8,83.94,90.2,1
33.94,44.53,61.06,70.75,82.9,133.5,139.4,1
47.75,38.3,45.7,79.9,84.2,150.8,150.9,1
34.38,20.2,45.56,75.2,86.6,141.2,138.6,1
35.28,38.22,53.0,70.9,78.44,129.1,136.2,1
21.19,25.2,51.62,65.4,79.3,128.4,123.0,1
19.94,21.86,49.78,63.88,72.25,129.9,124.06,1
17.92,19.78,47.9,73.75,80.94,131.6,127.94,1
18.9,22.8,49.1,71.94,74.3,128.0,120.56,1
18.53,19.39,49.66,79.75,77.5,129.8,127.2,1
19.98,23.9,51.12,82.44,81.8,127.5,125.2,1
19.95,25.36,49.22,75.7,76.4,125.6,123.2,1
20.16,24.86,48.56,77.0,80.2,125.56,124.94,1
18.98,22.2,49.53,75.5,77.25,127.1,125.5,1
20.48,28.22,48.34,74.75,80.0,123.9,119.6,1
17.48,20.27,45.97,82.06,80.94,131.8,131.6,1
20.69,27.08,49.53,76.06,79.5,125.56,119.4,1
22.88,24.16,48.06,72.3,80.3,139.8,138.1,1
42.5,45.56,44.72,81.3,91.9,132.0,139.8,1
40.9,42.22,45.88,51.56,57.6,137.2,132.9,1
35.06,33.56,45.1,46.8,51.97,131.2,124.56,1
42.03,42.22,45.78,45.25,55.44,129.2,123.44,1
60.66,59.1,44.66,43.25,55.62,134.0,127.56,1
38.72,37.22,48.03,43.12,62.75,125.56,118.56,1
43.7,42.62,46.47,44.5,58.0,127.7,120.94,1
62.16,61.34,47.56,48.16,58.28,134.4,126.1,1
61.97,61.84,46.56,50.03,58.94,132.5,127.25,1
56.88,58.28,45.72,47.12,59.2,131.6,126.9,1
42.22,42.75,46.3,48.56,57.78,130.2,125.4,1
46.34,46.1,46.34,46.88,58.03,130.4,124.75,1
60.88,61.38,46.56,46.1,59.97,131.6,125.2,1
43.3,46.34,47.34,48.72,60.2,129.9,126.7,1
55.5,47.72,41.2,54.1,63.34,143.5,137.5,1
20.08,19.27,43.56,85.4,78.7,137.8,131.6,1
24.19,25.72,45.16,62.7,64.6,134.0,128.5,1
36.75,33.44,44.22,58.38,64.94,136.9,131.4,1
35.22,42.84,37.72,47.44,70.3,138.2,137.0,1
59.25,68.0,36.7,50.97,60.9,134.0,139.4,1
70.75,76.44,35.6,47.47,61.38,133.4,136.9,1
